Historic Number Of Orders;Average Order Value;First Active;Last Active;Historic Customer Lifetime Value;days active
1.0;231.45;2021-04-05;2022-05-01;231.10999999999999;391.0
3.0;178.95;2021-04-20;2022-05-01;533.4799999999999;376.0
1.0;125.68;2021-04-05;2022-05-01;125.34;391.0
1.0;148.45;2021-04-05;2022-05-01;148.10999999999999;391.0
1.0;88.89;2021-04-03;2022-05-01;88.55;393.0
1.0;110.74000000000001;2021-04-05;2022-05-01;110.4;391.0
1.0;130.26999999999998;2021-04-18;2022-05-01;129.92999999999998;378.0
1.0;96.83;2021-04-05;2022-05-01;96.49;391.0
1.0;125.53;2021-04-09;2022-05-01;125.19;387.0
4.0;245.57;2021-04-05;2022-05-01;977.39;391.0
1.0;207.28;2021-04-05;2022-05-01;206.94;391.0
1.0;174.32;2021-04-05;2022-05-01;173.98;391.0
2.0;160.16;2021-04-08;2022-05-01;318.46000000000004;388.0
3.0;168.06;2021-04-05;2022-05-01;500.83000000000004;391.0
1.0;294.28999999999996;2021-04-05;2022-05-01;293.95;391.0
1.0;125.68;2021-04-05;2022-05-01;125.34;391.0
1.0;310.32;2021-12-31;2022-05-01;309.98;121.0
1.0;88.89;2021-04-05;2022-05-01;88.55;391.0
2.0;136.47;2021-02-19;2022-05-01;271.09000000000003;436.0
3.0;136.41;2021-02-19;2022-05-01;405.87;436.0
1.0;70.5;2021-03-05;2022-05-01;70.16;422.0
1.0;113.89;2021-03-05;2022-05-01;113.55;422.0
2.0;104.87;2021-02-20;2022-05-01;207.89999999999998;435.0
5.0;139.75;2021-02-19;2022-05-01;692.3499999999999;436.0
1.0;96.93;2021-02-20;2022-05-01;96.59;435.0
4.0;170.92999999999998;2021-02-19;2022-05-01;678.8299999999999;436.0
3.0;111.08;2021-02-20;2022-05-01;329.89000000000004;435.0
2.0;159.01;2021-02-20;2022-05-01;316.17;435.0
4.0;184.20999999999998;2021-02-20;2022-05-01;731.9799999999999;435.0
2.0;206.91;2021-04-21;2022-05-01;411.98;375.0
4.0;200.66;2021-02-19;2022-05-01;797.77;436.0
2.0;375.90999999999997;2021-03-05;2022-05-01;749.9799999999999;422.0
1.0;340.68;2021-02-20;2022-05-01;340.34000000000003;435.0
1.0;123.91000000000001;2021-02-19;2022-05-01;123.57000000000001;436.0
4.0;219.95;2021-02-19;2022-05-01;874.91;436.0
3.0;206.35999999999999;2021-03-05;2022-05-01;615.7199999999999;422.0
6.0;133.2;2021-02-26;2022-05-01;791.3199999999999;429.0
14.0;182.39999999999998;2021-02-19;2022-05-01;2533.67;436.0
2.0;196.92999999999998;2021-03-06;2022-05-01;392.02000000000004;421.0
2.0;135.35999999999999;2021-02-20;2022-05-01;268.87;435.0
1.0;145.51;2021-02-20;2022-05-01;145.17;435.0
1.0;254.45;2021-02-24;2022-05-01;254.10999999999999;431.0
1.0;136.59;2021-03-05;2022-05-01;136.25;422.0
1.0;106.51;2021-02-19;2022-05-01;106.17;436.0
5.0;144.23999999999998;2021-03-07;2022-05-01;714.81;420.0
2.0;147.10999999999999;2021-03-07;2022-05-01;292.36;420.0
3.0;248.42999999999998;2021-03-07;2022-05-01;741.9399999999999;420.0
1.0;118.01;2021-02-19;2022-05-01;117.67;436.0
5.0;277.68;2021-03-05;2022-05-01;1382.02;422.0
1.0;111.82000000000001;2021-02-20;2022-05-01;111.48;435.0
2.0;135.42999999999998;2021-02-20;2022-05-01;269.01;435.0
1.0;99.30000000000001;2021-02-19;2022-05-01;98.96000000000001;436.0
1.0;214.20999999999998;2021-03-06;2022-05-01;213.86999999999998;421.0
4.0;199.1;2021-02-19;2022-05-01;791.52;436.0
2.0;263.07;2021-02-20;2022-05-01;524.3;435.0
1.0;159.84;2021-03-20;2022-05-01;159.5;407.0
1.0;232.51;2021-02-19;2022-05-01;232.17;436.0
1.0;88.89;2021-02-20;2022-05-01;88.55;435.0
1.0;163.97;2021-02-15;2022-05-01;163.63;440.0
1.0;115.51;2021-02-19;2022-05-01;115.17;436.0
1.0;128.57;2021-02-20;2022-05-01;128.23;435.0
1.0;140.53;2021-02-20;2022-05-01;140.19;435.0
1.0;88.89;2021-02-20;2022-05-01;88.55;435.0
4.0;149.39;2021-02-24;2022-05-01;592.6999999999999;431.0
6.0;125.83;2021-02-20;2022-05-01;747.12;435.0
2.0;148.7;2021-02-19;2022-05-01;295.55;436.0
2.0;113.59;2021-03-13;2022-05-01;225.32;414.0
3.0;201.0;2021-02-20;2022-05-01;599.63;435.0
2.0;190.2;2021-04-20;2022-05-01;378.55;376.0
5.0;165.75;2021-02-20;2022-05-01;822.3499999999999;435.0
1.0;203.85999999999999;2021-03-07;2022-05-01;203.51999999999998;420.0
3.0;214.63;2021-02-19;2022-05-01;640.53;436.0
4.0;126.37;2021-02-19;2022-05-01;500.63;436.0
2.0;96.98;2021-02-20;2022-05-01;192.10999999999999;435.0
1.0;116.47;2021-03-06;2022-05-01;116.13;421.0
1.0;118.77000000000001;2021-03-05;2022-05-01;118.43;422.0
1.0;101.51;2021-02-20;2022-05-01;101.17;435.0
1.0;213.01;2021-02-19;2022-05-01;212.67;436.0
1.0;283.19;2021-03-05;2022-05-01;282.85;422.0
2.0;127.4;2021-02-19;2022-05-01;252.95;436.0
7.0;153.07;2021-02-20;2022-05-01;1062.1100000000001;435.0
1.0;103.39;2021-02-19;2022-05-01;103.05;436.0
1.0;110.74000000000001;2021-02-20;2022-05-01;110.4;435.0
3.0;114.52000000000001;2021-02-20;2022-05-01;340.19;435.0
2.0;139.47;2021-02-20;2022-05-01;277.1;435.0
4.0;267.18;2021-02-20;2022-05-01;1063.8300000000002;435.0
