Historic Number Of Orders,Average Order Value,First Active,Last Active,Historic Customer Lifetime Value,days active
1.0,231.45,2021-04-05,2022-04-30,231.10999999999999,390.0
3.0,178.95,2021-04-20,2022-04-30,533.4799999999999,375.0
1.0,125.68,2021-04-05,2022-04-30,125.34,390.0
1.0,148.45,2021-04-05,2022-04-30,148.10999999999999,390.0
1.0,88.89,2021-04-03,2022-04-30,88.55,392.0
1.0,110.74000000000001,2021-04-05,2022-04-30,110.4,390.0
1.0,130.26999999999998,2021-04-18,2022-04-30,129.92999999999998,377.0
1.0,96.83,2021-04-05,2022-04-30,96.49,390.0
1.0,125.53,2021-04-09,2022-04-30,125.19,386.0
4.0,245.57,2021-04-05,2022-04-30,977.39,390.0
1.0,207.28,2021-04-05,2022-04-30,206.94,390.0
1.0,174.32,2021-04-05,2022-04-30,173.98,390.0
2.0,160.16,2021-04-08,2022-04-30,318.46000000000004,387.0
3.0,168.06,2021-04-05,2022-04-30,500.83000000000004,390.0
1.0,294.28999999999996,2021-04-05,2022-04-30,293.95,390.0
1.0,125.68,2021-04-05,2022-04-30,125.34,390.0
1.0,310.32,2021-12-31,2022-04-30,309.98,120.0
1.0,88.89,2021-04-05,2022-04-30,88.55,390.0
2.0,136.47,2021-02-19,2022-04-30,271.09000000000003,435.0
3.0,136.41,2021-02-19,2022-04-30,405.87,435.0
1.0,70.5,2021-03-05,2022-04-30,70.16,421.0
1.0,113.89,2021-03-05,2022-04-30,113.55,421.0
2.0,104.87,2021-02-20,2022-04-30,207.89999999999998,434.0
5.0,139.75,2021-02-19,2022-04-30,692.3499999999999,435.0
1.0,96.93,2021-02-20,2022-04-30,96.59,434.0
4.0,170.92999999999998,2021-02-19,2022-04-30,678.8299999999999,435.0
3.0,111.08,2021-02-20,2022-04-30,329.89000000000004,434.0
2.0,159.01,2021-02-20,2022-04-30,316.17,434.0
4.0,184.20999999999998,2021-02-20,2022-04-30,731.9799999999999,434.0
2.0,206.91,2021-04-21,2022-04-30,411.98,374.0
4.0,200.66,2021-02-19,2022-04-30,797.77,435.0
2.0,375.90999999999997,2021-03-05,2022-04-30,749.9799999999999,421.0
1.0,340.68,2021-02-20,2022-04-30,340.34000000000003,434.0
1.0,123.91000000000001,2021-02-19,2022-04-30,123.57000000000001,435.0
4.0,219.95,2021-02-19,2022-04-30,874.91,435.0
3.0,206.35999999999999,2021-03-05,2022-04-30,615.7199999999999,421.0
6.0,133.2,2021-02-26,2022-04-30,791.3199999999999,428.0
14.0,182.39999999999998,2021-02-19,2022-04-30,2533.67,435.0
2.0,196.92999999999998,2021-03-06,2022-04-30,392.02000000000004,420.0
2.0,135.35999999999999,2021-02-20,2022-04-30,268.87,434.0
1.0,145.51,2021-02-20,2022-04-30,145.17,434.0
1.0,254.45,2021-02-24,2022-04-30,254.10999999999999,430.0
1.0,136.59,2021-03-05,2022-04-30,136.25,421.0
1.0,106.51,2021-02-19,2022-04-30,106.17,435.0
5.0,144.23999999999998,2021-03-07,2022-04-30,714.81,419.0
2.0,147.10999999999999,2021-03-07,2022-04-30,292.36,419.0
3.0,248.42999999999998,2021-03-07,2022-04-30,741.9399999999999,419.0
1.0,118.01,2021-02-19,2022-04-30,117.67,435.0
5.0,277.68,2021-03-05,2022-04-30,1382.02,421.0
1.0,111.82000000000001,2021-02-20,2022-04-30,111.48,434.0
2.0,135.42999999999998,2021-02-20,2022-04-30,269.01,434.0
1.0,99.30000000000001,2021-02-19,2022-04-30,98.96000000000001,435.0
1.0,214.20999999999998,2021-03-06,2022-04-30,213.86999999999998,420.0
4.0,199.1,2021-02-19,2022-04-30,791.52,435.0
2.0,263.07,2021-02-20,2022-04-30,524.3,434.0
1.0,159.84,2021-03-20,2022-04-30,159.5,406.0
1.0,232.51,2021-02-19,2022-04-30,232.17,435.0
1.0,88.89,2021-02-20,2022-04-30,88.55,434.0
1.0,163.97,2021-02-15,2022-04-30,163.63,439.0
1.0,115.51,2021-02-19,2022-04-30,115.17,435.0
1.0,128.57,2021-02-20,2022-04-30,128.23,434.0
1.0,140.53,2021-02-20,2022-04-30,140.19,434.0
1.0,88.89,2021-02-20,2022-04-30,88.55,434.0
4.0,149.39,2021-02-24,2022-04-30,592.6999999999999,430.0
6.0,125.83,2021-02-20,2022-04-30,747.12,434.0
2.0,148.7,2021-02-19,2022-04-30,295.55,435.0
2.0,113.59,2021-03-13,2022-04-30,225.32,413.0
3.0,201.0,2021-02-20,2022-04-30,599.63,434.0
2.0,190.2,2021-04-20,2022-04-30,378.55,375.0
5.0,165.75,2021-02-20,2022-04-30,822.3499999999999,434.0
1.0,203.85999999999999,2021-03-07,2022-04-30,203.51999999999998,419.0
3.0,214.63,2021-02-19,2022-04-30,640.53,435.0
4.0,126.37,2021-02-19,2022-04-30,500.63,435.0
2.0,96.98,2021-02-20,2022-04-30,192.10999999999999,434.0
1.0,116.47,2021-03-06,2022-04-30,116.13,420.0
1.0,118.77000000000001,2021-03-05,2022-04-30,118.43,421.0
1.0,101.51,2021-02-20,2022-04-30,101.17,434.0
1.0,213.01,2021-02-19,2022-04-30,212.67,435.0
1.0,283.19,2021-03-05,2022-04-30,282.85,421.0
2.0,127.4,2021-02-19,2022-04-30,252.95,435.0
7.0,153.07,2021-02-20,2022-04-30,1062.1100000000001,434.0
1.0,103.39,2021-02-19,2022-04-30,103.05,435.0
1.0,110.74000000000001,2021-02-20,2022-04-30,110.4,434.0
3.0,114.52000000000001,2021-02-20,2022-04-30,340.19,434.0
2.0,139.47,2021-02-20,2022-04-30,277.1,434.0
4.0,267.18,2021-02-20,2022-04-30,1063.8300000000002,434.0
1.0,391.51,2021-02-19,2022-04-30,391.17,435.0
1.0,90.04,2021-02-20,2022-04-30,89.7,434.0
4.0,169.07,2021-02-20,2022-04-30,671.43,434.0
1.0,201.79,2021-04-21,2022-04-30,201.45,374.0
1.0,132.57999999999998,2021-02-20,2022-04-30,132.23999999999998,434.0
4.0,247.82999999999998,2021-02-19,2022-04-30,986.4699999999999,435.0
1.0,88.89,2021-02-20,2022-04-30,88.55,434.0
1.0,73.31,2021-02-20,2022-04-30,72.97,434.0
2.0,156.95,2021-04-08,2022-04-30,312.06,387.0
2.0,272.84,2021-02-20,2022-04-30,543.8299999999999,434.0
1.0,284.34,2021-02-20,2022-04-30,284.0,434.0
1.0,136.59,2021-02-22,2022-04-30,136.25,432.0
2.0,253.01,2021-02-20,2022-04-30,504.16,434.0
4.0,145.63,2021-02-19,2022-04-30,577.66,435.0
1.0,93.48,2021-02-20,2022-04-30,93.14,434.0
9.0,142.95,2021-03-05,2022-04-30,1274.1100000000001,421.0
4.0,177.42,2021-03-05,2022-04-30,704.81,421.0
3.0,139.04999999999998,2021-03-06,2022-04-30,413.78000000000003,420.0
1.0,167.04999999999998,2021-03-07,2022-04-30,166.70999999999998,419.0
2.0,253.47,2021-02-19,2022-04-30,505.08000000000004,435.0
2.0,168.2,2021-02-21,2022-04-30,334.55,433.0
1.0,213.64,2021-02-20,2022-04-30,213.29999999999998,434.0
1.0,118.21000000000001,2021-02-19,2022-04-30,117.87,435.0
1.0,88.89,2021-03-07,2022-04-30,88.55,419.0
1.0,138.32999999999998,2021-02-23,2022-04-30,137.98999999999998,431.0
2.0,146.79,2021-02-19,2022-04-30,291.72,435.0
1.0,142.92999999999998,2021-04-08,2022-04-30,142.58999999999997,387.0
2.0,139.19,2021-02-20,2022-04-30,276.52000000000004,434.0
2.0,112.74000000000001,2021-02-20,2022-04-30,223.63,434.0
1.0,1.51,2021-02-08,2022-04-30,1.17,446.0
1.0,150.97,2021-02-20,2022-04-30,150.63,434.0
2.0,85.67,2021-02-19,2022-04-30,169.48,435.0
4.0,125.87,2021-03-24,2022-04-30,498.6,402.0
1.0,161.51,2021-02-19,2022-04-30,161.17,435.0
2.0,241.41,2021-03-05,2022-04-30,480.96000000000004,421.0
3.0,154.48,2021-02-19,2022-04-30,460.09000000000003,435.0
1.0,92.34,2021-02-20,2022-04-30,92.0,434.0
1.0,88.89,2021-02-20,2022-04-30,88.55,434.0
3.0,206.39,2021-02-19,2022-04-30,615.81,435.0
14.0,373.51,2021-02-20,2022-04-30,5209.1900000000005,434.0
1.0,140.53,2021-02-20,2022-04-30,140.19,434.0
1.0,113.41000000000001,2021-02-19,2022-04-30,113.07000000000001,435.0
1.0,99.21000000000001,2021-02-20,2022-04-30,98.87,434.0
3.0,124.98,2021-02-20,2022-04-30,371.57,434.0
2.0,115.5,2021-03-12,2022-04-30,229.14999999999998,414.0
1.0,86.5,2021-02-19,2022-04-30,86.16,435.0
3.0,122.62,2021-02-20,2022-04-30,364.49,434.0
1.0,118.01,2021-02-19,2022-04-30,117.67,435.0
2.0,126.25,2021-02-19,2022-04-30,250.64,435.0
2.0,163.13,2021-02-19,2022-04-30,324.42,435.0
1.0,123.91000000000001,2021-02-19,2022-04-30,123.57000000000001,435.0
2.0,150.97,2021-02-20,2022-04-30,300.09000000000003,434.0
1.0,119.92,2021-02-20,2022-04-30,119.58,434.0
3.0,137.12,2021-02-19,2022-04-30,408.01,435.0
4.0,228.60999999999999,2021-02-19,2022-04-30,909.5799999999999,435.0
2.0,115.77000000000001,2021-02-19,2022-04-30,229.69,435.0
3.0,168.95,2021-02-19,2022-04-30,503.49,435.0
1.0,371.59999999999997,2021-03-04,2022-04-30,371.26,422.0
1.0,126.83,2021-03-18,2022-04-30,126.49,408.0
2.0,111.88000000000001,2021-02-19,2022-04-30,221.91,435.0
4.0,156.37,2021-02-20,2022-04-30,620.63,434.0
2.0,96.14,2021-02-19,2022-04-30,190.42999999999998,435.0
1.0,251.0,2021-02-20,2022-04-30,250.66,434.0
1.0,88.89,2021-02-20,2022-04-30,88.55,434.0
1.0,233.76,2021-03-07,2022-04-30,233.42,419.0
1.0,95.51,2021-02-19,2022-04-30,95.17,435.0
2.0,170.17,2021-02-20,2022-04-30,338.5,434.0
1.0,96.51,2021-02-20,2022-04-30,96.17,434.0
1.0,392.40999999999997,2021-02-20,2022-04-30,392.07,434.0
2.0,102.68,2021-03-17,2022-04-30,203.51,409.0
6.0,128.89,2021-02-19,2022-04-30,765.4699999999999,435.0
1.0,369.42,2021-02-20,2022-04-30,369.08000000000004,434.0
7.0,163.32,2021-02-19,2022-04-30,1133.8600000000001,435.0
1.0,130.51,2021-02-20,2022-04-30,130.17,434.0
2.0,153.26999999999998,2021-02-20,2022-04-30,304.69,434.0
1.0,162.47,2021-02-20,2022-04-30,162.13,434.0
1.0,76.12,2021-03-07,2022-04-30,75.78,419.0
1.0,76.55000000000001,2021-02-15,2022-04-30,76.21000000000001,439.0
3.0,218.01,2021-03-05,2022-04-30,650.68,421.0
1.0,1.51,2021-02-15,2022-04-30,1.17,439.0
2.0,141.14,2021-02-19,2022-04-30,280.43,435.0
1.0,150.76,2021-02-15,2022-04-30,150.42,439.0
4.0,78.4,2021-02-19,2022-04-30,308.71000000000004,435.0
4.0,266.81,2021-02-20,2022-04-30,1062.3600000000001,434.0
1.0,223.81,2021-02-18,2022-04-30,223.47,436.0
1.0,103.39,2021-02-19,2022-04-30,103.05,435.0
7.0,182.64999999999998,2021-02-23,2022-04-30,1269.18,431.0
1.0,90.03,2021-02-20,2022-04-30,89.69,434.0
2.0,214.78,2021-02-21,2022-04-30,427.71000000000004,433.0
6.0,261.55,2021-02-15,2022-04-30,1561.44,439.0
1.0,88.89,2021-02-19,2022-04-30,88.55,435.0
3.0,236.04,2021-06-15,2022-04-30,704.75,319.0
3.0,112.84,2021-02-20,2022-04-30,335.16,434.0
1.0,79.31,2021-02-19,2022-04-30,78.97,435.0
1.0,114.52000000000001,2021-05-10,2022-04-30,114.18,355.0
2.0,337.21999999999997,2021-02-28,2022-04-30,672.5899999999999,426.0
1.0,78.71000000000001,2021-02-19,2022-04-30,78.37,435.0
7.0,216.5,2021-02-19,2022-04-30,1506.0700000000002,435.0
3.0,111.5,2021-02-19,2022-04-30,331.13,435.0
2.0,211.91,2021-02-19,2022-04-30,421.98,435.0
1.0,96.19000000000001,2021-02-20,2022-04-30,95.85000000000001,434.0
17.0,143.59,2021-02-20,2022-04-30,2416.4700000000003,434.0
1.0,139.47,2021-02-20,2022-04-30,139.13,434.0
1.0,95.24000000000001,2021-02-19,2022-04-30,94.9,435.0
1.0,163.51,2021-02-19,2022-04-30,163.17,435.0
2.0,171.67,2021-02-20,2022-04-30,341.49,434.0
1.0,213.01,2021-02-19,2022-04-30,212.67,435.0
1.0,194.67,2021-02-21,2022-04-30,194.32999999999998,433.0
1.0,294.68,2021-04-05,2022-04-30,294.34000000000003,390.0
1.0,150.97,2021-02-19,2022-04-30,150.63,435.0
2.0,171.67,2021-02-27,2022-04-30,341.48,427.0
1.0,110.72,2021-02-20,2022-04-30,110.38,434.0
1.0,93.49000000000001,2021-02-19,2022-04-30,93.15,435.0
1.0,174.32,2021-02-20,2022-04-30,173.98,434.0
1.0,165.0,2022-01-13,2022-04-30,164.66,107.0
1.0,231.45,2022-01-13,2022-04-30,231.10999999999999,107.0
1.0,265.46,2022-01-13,2022-04-30,265.12,107.0
1.0,101.54,2022-01-13,2022-04-30,101.2,107.0
1.0,129.07999999999998,2022-01-13,2022-04-30,128.73999999999998,107.0
1.0,260.2,2022-01-13,2022-04-30,259.86,107.0
1.0,165.0,2022-01-14,2022-04-30,164.66,106.0
1.0,403.92,2022-01-13,2022-04-30,403.58000000000004,107.0
1.0,100.38000000000001,2022-01-12,2022-04-30,100.04,108.0
1.0,164.76999999999998,2022-01-13,2022-04-30,164.42999999999998,107.0
1.0,118.65,2021-03-24,2022-04-30,118.31,402.0
2.0,186.85,2021-04-06,2022-04-30,371.84000000000003,389.0
1.0,173.95999999999998,2021-08-04,2022-04-30,173.61999999999998,269.0
1.0,173.95999999999998,2021-07-27,2022-04-30,173.61999999999998,277.0
2.0,136.67,2021-07-28,2022-04-30,271.48,276.0
2.0,99.81,2021-09-01,2022-04-30,197.76999999999998,241.0
1.0,125.68,2021-09-01,2022-04-30,125.34,241.0
1.0,150.97,2021-08-07,2022-04-30,150.63,266.0
1.0,313.44,2021-09-01,2022-04-30,313.1,241.0
1.0,173.95999999999998,2021-08-04,2022-04-30,173.61999999999998,269.0
5.0,170.13,2021-07-26,2022-04-30,844.27,278.0
1.0,139.47,2021-08-23,2022-04-30,139.13,250.0
1.0,159.84,2021-08-25,2022-04-30,159.5,248.0
1.0,173.95999999999998,2021-07-27,2022-04-30,173.61999999999998,277.0
1.0,173.95999999999998,2021-07-27,2022-04-30,173.61999999999998,277.0
1.0,173.95999999999998,2021-07-27,2022-04-30,173.61999999999998,277.0
1.0,139.47,2021-08-17,2022-04-30,139.13,256.0
1.0,425.76,2021-08-01,2022-04-30,425.42,272.0
1.0,185.23999999999998,2021-08-11,2022-04-30,184.89999999999998,262.0
1.0,76.12,2021-08-14,2022-04-30,75.78,259.0
1.0,371.71999999999997,2021-08-13,2022-04-30,371.38,260.0
1.0,113.03,2021-08-06,2022-04-30,112.69,267.0
2.0,96.83,2021-07-25,2022-04-30,191.79999999999998,279.0
1.0,110.74000000000001,2021-09-01,2022-04-30,110.4,241.0
1.0,139.47,2021-08-14,2022-04-30,139.13,259.0
1.0,173.95999999999998,2021-08-04,2022-04-30,173.61999999999998,269.0
1.0,173.95999999999998,2021-07-27,2022-04-30,173.61999999999998,277.0
1.0,139.47,2021-08-13,2022-04-30,139.13,260.0
1.0,139.47,2021-09-01,2022-04-30,139.13,241.0
1.0,139.47,2021-08-21,2022-04-30,139.13,252.0
2.0,132.57,2021-08-21,2022-04-30,263.3,252.0
1.0,518.88,2021-08-25,2022-04-30,518.54,248.0
1.0,88.09,2021-07-28,2022-04-30,87.75,276.0
1.0,145.51,2021-09-01,2022-04-30,145.17,241.0
1.0,125.68,2021-09-01,2022-04-30,125.34,241.0
1.0,167.64999999999998,2021-08-14,2022-04-30,167.30999999999997,259.0
2.0,173.95999999999998,2021-07-27,2022-04-30,346.07,277.0
1.0,257.1,2021-08-01,2022-04-30,256.76,272.0
1.0,125.68,2021-09-01,2022-04-30,125.34,241.0
1.0,231.45,2021-08-07,2022-04-30,231.10999999999999,266.0
1.0,217.66,2021-09-01,2022-04-30,217.32,241.0
1.0,139.47,2021-08-13,2022-04-30,139.13,260.0
1.0,139.45999999999998,2021-08-11,2022-04-30,139.11999999999998,262.0
1.0,380.93,2021-08-26,2022-04-30,380.59000000000003,247.0
1.0,139.47,2021-09-01,2022-04-30,139.13,241.0
1.0,125.68,2021-09-01,2022-04-30,125.34,241.0
1.0,104.98,2021-08-22,2022-04-30,104.64,251.0
1.0,130.28,2021-07-29,2022-04-30,129.94,275.0
1.0,149.89,2021-08-10,2022-04-30,149.54999999999998,263.0
1.0,173.95999999999998,2021-07-27,2022-04-30,173.61999999999998,277.0
2.0,164.76999999999998,2021-08-27,2022-04-30,327.68,246.0
1.0,139.45999999999998,2021-08-02,2022-04-30,139.11999999999998,271.0
1.0,125.68,2021-09-01,2022-04-30,125.34,241.0
3.0,199.37,2021-08-29,2022-04-30,594.76,244.0
1.0,103.84,2021-08-02,2022-04-30,103.5,271.0
1.0,315.28,2021-08-25,2022-04-30,314.94,248.0
1.0,139.47,2021-08-28,2022-04-30,139.13,245.0
1.0,139.47,2021-08-25,2022-04-30,139.13,248.0
1.0,187.09,2021-07-27,2022-04-30,186.75,277.0
1.0,110.71000000000001,2021-09-01,2022-04-30,110.37,241.0
1.0,162.51,2021-09-01,2022-04-30,162.17,241.0
3.0,274.92,2021-08-04,2022-04-30,821.39,269.0
1.0,460.23,2021-08-16,2022-04-30,459.89000000000004,257.0
2.0,199.85,2021-08-12,2022-04-30,397.84000000000003,261.0
2.0,244.95999999999998,2021-08-01,2022-04-30,488.07,272.0
1.0,125.68,2021-09-01,2022-04-30,125.34,241.0
1.0,115.32000000000001,2021-08-01,2022-04-30,114.98,272.0
4.0,154.10999999999999,2021-08-27,2022-04-30,611.5699999999999,246.0
2.0,142.92,2021-07-28,2022-04-30,283.99,276.0
1.0,139.47,2021-08-29,2022-04-30,139.13,244.0
1.0,112.67,2021-07-30,2022-04-30,112.33,274.0
1.0,369.42,2021-08-01,2022-04-30,369.08000000000004,272.0
1.0,208.45999999999998,2021-08-28,2022-04-30,208.11999999999998,245.0
1.0,139.47,2021-08-14,2022-04-30,139.13,259.0
1.0,139.47,2021-08-16,2022-04-30,139.13,257.0
1.0,173.95999999999998,2021-08-04,2022-04-30,173.61999999999998,269.0
1.0,280.9,2021-09-01,2022-04-30,280.56,241.0
1.0,139.47,2021-08-14,2022-04-30,139.13,259.0
1.0,139.47,2021-08-13,2022-04-30,139.13,260.0
1.0,173.95999999999998,2021-08-04,2022-04-30,173.61999999999998,269.0
1.0,120.85000000000001,2021-08-05,2022-04-30,120.51,268.0
1.0,115.33,2021-07-26,2022-04-30,114.99,278.0
1.0,139.47,2021-08-14,2022-04-30,139.13,259.0
1.0,145.51,2021-09-01,2022-04-30,145.17,241.0
1.0,150.51999999999998,2021-08-01,2022-04-30,150.17999999999998,272.0
1.0,101.42,2021-08-02,2022-04-30,101.08,271.0
